game_id,question_number,asset_name,pm_id,last_completed,start_counter,sequence,correct_due_date,correct_frequency,submitted_due_date,submitted_frequency,attempts,correct,score
ccd5ef1763e34b75b5fe32ef69fcb7d8,1,False,0,3,AHU-7979,PM79472,21/06/2023,24,20/10/2020,24,21/06/2022,17,"{""JP100021Y"": {""interval"": 1, ""months"": 12}, ""JP100022Y"": {""interval"": 2, ""months"": 24}, ""JP100025Y"": {""interval"": 5, ""months"": 60}}"
ccd5ef1763e34b75b5fe32ef69fcb7d8,2,False,0,3,FAN-7816,PM74176,17/12/2022,24,01/01/2000,24,17/12/2021,15,"{""JP709731Y"": {""interval"": 1, ""months"": 12}, ""JP709732Y"": {""interval"": 2, ""months"": 24}, ""JP709735Y"": {""interval"": 5, ""months"": 60}}"
ccd5ef1763e34b75b5fe32ef69fcb7d8,3,False,0,3,AHU-9934,PM26816,18/04/2024,3,01/01/2000,24,18/01/2024,76,"{""JP238203M"": {""interval"": 1, ""months"": 3}, ""JP238206M"": {""interval"": 2, ""months"": 6}, ""JP238202Y"": {""interval"": 8, ""months"": 24}, ""JP238205Y"": {""interval"": 20, ""months"": 60}}"
ccd5ef1763e34b75b5fe32ef69fcb7d8,4,False,0,3,BOILER-3254,PM48236,24/01/2026,60,01/01/2000,24,24/07/2025,19,"{""JP373056M"": {""interval"": 1, ""months"": 6}, ""JP373052Y"": {""interval"": 4, ""months"": 24}, ""JP373055Y"": {""interval"": 10, ""months"": 60}}"
ccd5ef1763e34b75b5fe32ef69fcb7d8,5,True,3,1,BOILER-8784,PM86626,28/07/2023,1,28/07/2023,1,28/06/2023,74,"{""JP930331M"": {""interval"": 1, ""months"": 1}, ""JP930332M"": {""interval"": 2, ""months"": 2}, ""JP930336M"": {""interval"": 6, ""months"": 6}, ""JP930331Y"": {""interval"": 12, ""months"": 12}, ""JP930332Y"": {""interval"": 24, ""months"": 24}, ""JP930335Y"": {""interval"": 60, ""months"": 60}}"
ccd5ef1763e34b75b5fe32ef69fcb7d8,6,False,0,3,PUMP-6486,PM30639,19/08/2025,2,01/01/2000,6,19/06/2025,48,"{""JP818312M"": {""interval"": 1, ""months"": 2}, ""JP818316M"": {""interval"": 3, ""months"": 6}, ""JP818315Y"": {""interval"": 30, ""months"": 60}}"
ccd5ef1763e34b75b5fe32ef69fcb7d8,7,False,0,3,BOILER-2548,PM35724,21/03/2024,60,01/01/2000,12,21/09/2023,9,"{""JP312906M"": {""interval"": 1, ""months"": 6}, ""JP312901Y"": {""interval"": 2, ""months"": 12}, ""JP312902Y"": {""interval"": 4, ""months"": 24}, ""JP312905Y"": {""interval"": 10, ""months"": 60}}"
ccd5ef1763e34b75b5fe32ef69fcb7d8,8,False,0,3,FAN-9684,PM48607,16/01/2025,24,01/01/2000,12,16/07/2024,75,"{""JP995436M"": {""interval"": 1, ""months"": 6}, ""JP995431Y"": {""interval"": 2, ""months"": 12}, ""JP995432Y"": {""interval"": 4, ""months"": 24}, ""JP995435Y"": {""interval"": 10, ""months"": 60}}"
ccd5ef1763e34b75b5fe32ef69fcb7d8,9,False,0,3,BOILER-1614,PM37585,18/11/2020,2,01/01/2000,60,18/09/2020,46,"{""JP886132M"": {""interval"": 1, ""months"": 2}, ""JP886136M"": {""interval"": 3, ""months"": 6}, ""JP886135Y"": {""interval"": 30, ""months"": 60}}"
ccd5ef1763e34b75b5fe32ef69fcb7d8,10,False,0,3,PUMP-9725,PM58401,05/11/2024,2,01/01/2000,6,05/09/2024,27,"{""JP810602M"": {""interval"": 1, ""months"": 2}, ""JP810606M"": {""interval"": 3, ""months"": 6}, ""JP810601Y"": {""interval"": 6, ""months"": 12}}"
26c3f479e7714dc3a6a59e0ed83557e6,1,False,0,3,PUMP-9106,PM16034,10/04/2021,12,01/01/2000,12,10/10/2020,1,"{""JP124136M"": {""interval"": 1, ""months"": 6}, ""JP124131Y"": {""interval"": 2, ""months"": 12}, ""JP124132Y"": {""interval"": 4, ""months"": 24}, ""JP124135Y"": {""interval"": 10, ""months"": 60}}"
26c3f479e7714dc3a6a59e0ed83557e6,2,False,0,3,FAN-2788,PM45673,01/07/2023,6,01/01/2000,12,01/01/2023,6,"{""JP537366M"": {""interval"": 1, ""months"": 6}, ""JP537361Y"": {""interval"": 2, ""months"": 12}, ""JP537362Y"": {""interval"": 4, ""months"": 24}, ""JP537365Y"": {""interval"": 10, ""months"": 60}}"
26c3f479e7714dc3a6a59e0ed83557e6,3,False,0,3,CHILLER-8656,PM78381,15/06/2023,2,01/01/2000,24,15/04/2023,76,"{""JP682102M"": {""interval"": 1, ""months"": 2}, ""JP682106M"": {""interval"": 3, ""months"": 6}, ""JP682102Y"": {""interval"": 12, ""months"": 24}, ""JP682105Y"": {""interval"": 30, ""months"": 60}}"
26c3f479e7714dc3a6a59e0ed83557e6,4,True,3,1,CHILLER-6970,PM94118,17/08/2024,2,17/08/2024,2,17/07/2024,19,"{""JP466101M"": {""interval"": 1, ""months"": 1}, ""JP466102M"": {""interval"": 2, ""months"": 2}, ""JP466106M"": {""interval"": 6, ""months"": 6}, ""JP466101Y"": {""interval"": 12, ""months"": 12}, ""JP466102Y"": {""interval"": 24, ""months"": 24}, ""JP466105Y"": {""interval"": 60, ""months"": 60}}"
26c3f479e7714dc3a6a59e0ed83557e6,5,False,0,3,CHILLER-8814,PM35509,26/07/2023,12,01/01/2000,12,26/05/2023,11,"{""JP107042M"": {""interval"": 1, ""months"": 2}, ""JP107041Y"": {""interval"": 6, ""months"": 12}, ""JP107045Y"": {""interval"": 30, ""months"": 60}}"
26c3f479e7714dc3a6a59e0ed83557e6,6,False,0,3,CHILLER-8602,PM96005,16/08/2025,24,01/01/2000,12,16/08/2024,73,"{""JP139531Y"": {""interval"": 1, ""months"": 12}, ""JP139532Y"": {""interval"": 2, ""months"": 24}, ""JP139535Y"": {""interval"": 5, ""months"": 60}}"
26c3f479e7714dc3a6a59e0ed83557e6,7,False,0,3,CHILLER-6376,PM75383,11/09/2021,2,01/01/2000,24,11/07/2021,70,"{""JP224812M"": {""interval"": 1, ""months"": 2}, ""JP224812Y"": {""interval"": 12, ""months"": 24}, ""JP224815Y"": {""interval"": 30, ""months"": 60}}"
26c3f479e7714dc3a6a59e0ed83557e6,8,False,0,3,CHILLER-6758,PM89770,21/02/2023,2,01/01/2000,12,21/12/2022,94,"{""JP464782M"": {""interval"": 1, ""months"": 2}, ""JP464781Y"": {""interval"": 6, ""months"": 12}, ""JP464785Y"": {""interval"": 30, ""months"": 60}}"
26c3f479e7714dc3a6a59e0ed83557e6,9,False,0,3,CHILLER-2019,PM25498,05/06/2021,12,01/01/2000,12,05/12/2020,93,"{""JP421376M"": {""interval"": 1, ""months"": 6}, ""JP421371Y"": {""interval"": 2, ""months"": 12}, ""JP421372Y"": {""interval"": 4, ""months"": 24}, ""JP421375Y"": {""interval"": 10, ""months"": 60}}"
26c3f479e7714dc3a6a59e0ed83557e6,10,False,0,3,BOILER-8639,PM26174,25/06/2022,3,01/01/2000,6,25/03/2022,72,"{""JP756243M"": {""interval"": 1, ""months"": 3}, ""JP756246M"": {""interval"": 2, ""months"": 6}, ""JP756241Y"": {""interval"": 4, ""months"": 12}, ""JP756242Y"": {""interval"": 8, ""months"": 24}, ""JP756245Y"": {""interval"": 20, ""months"": 60}}"
b6d1293a039f4bdfaaae8258a5fd4631,1,False,0,3,BOILER-8606,PM41867,23/10/2022,3,01/01/2000,12,23/07/2022,9,"{""JP255463M"": {""interval"": 1, ""months"": 3}, ""JP255461Y"": {""interval"": 4, ""months"": 12}, ""JP255462Y"": {""interval"": 8, ""months"": 24}}"
b6d1293a039f4bdfaaae8258a5fd4631,2,False,0,3,BOILER-5185,PM62255,10/01/2022,2,01/01/2000,12,10/11/2021,54,"{""JP181542M"": {""interval"": 1, ""months"": 2}, ""JP181546M"": {""interval"": 3, ""months"": 6}, ""JP181541Y"": {""interval"": 6, ""months"": 12}}"
b6d1293a039f4bdfaaae8258a5fd4631,3,False,0,3,PUMP-8303,PM68205,11/01/2023,12,01/01/2000,24,11/01/2022,60,"{""JP623311Y"": {""interval"": 1, ""months"": 12}, ""JP623312Y"": {""interval"": 2, ""months"": 24}, ""JP623315Y"": {""interval"": 5, ""months"": 60}}"
b6d1293a039f4bdfaaae8258a5fd4631,4,False,0,3,FAN-2739,PM93760,20/06/2024,2,01/01/2000,12,20/05/2024,21,"{""JP796051M"": {""interval"": 1, ""months"": 1}, ""JP796052M"": {""interval"": 2, ""months"": 2}, ""JP796051Y"": {""interval"": 12, ""months"": 12}, ""JP796052Y"": {""interval"": 24, ""months"": 24}, ""JP796055Y"": {""interval"": 60, ""months"": 60}}"
b6d1293a039f4bdfaaae8258a5fd4631,5,False,0,3,FAN-6492,PM50870,21/08/2024,1,01/01/2000,6,21/07/2024,0,"{""JP327261M"": {""interval"": 1, ""months"": 1}, ""JP327263M"": {""interval"": 3, ""months"": 3}, ""JP327266M"": {""interval"": 6, ""months"": 6}, ""JP327262Y"": {""interval"": 24, ""months"": 24}}"
b6d1293a039f4bdfaaae8258a5fd4631,6,False,0,3,PUMP-2119,PM60729,28/08/2025,6,01/01/2000,24,28/02/2025,53,"{""JP926376M"": {""interval"": 1, ""months"": 6}, ""JP926372Y"": {""interval"": 4, ""months"": 24}, ""JP926375Y"": {""interval"": 10, ""months"": 60}}"
b6d1293a039f4bdfaaae8258a5fd4631,7,False,0,3,FAN-3553,PM74417,27/11/2021,2,01/01/2000,12,27/09/2021,25,"{""JP565452M"": {""interval"": 1, ""months"": 2}, ""JP565456M"": {""interval"": 3, ""months"": 6}, ""JP565451Y"": {""interval"": 6, ""months"": 12}, ""JP565452Y"": {""interval"": 12, ""months"": 24}, ""JP565455Y"": {""interval"": 30, ""months"": 60}}"
b6d1293a039f4bdfaaae8258a5fd4631,8,False,0,3,PUMP-3707,PM97565,17/07/2022,24,01/01/2000,60,17/07/2021,17,"{""JP750541Y"": {""interval"": 1, ""months"": 12}, ""JP750542Y"": {""interval"": 2, ""months"": 24}, ""JP750545Y"": {""interval"": 5, ""months"": 60}}"
b6d1293a039f4bdfaaae8258a5fd4631,9,False,0,3,PUMP-4812,PM49960,26/10/2021,60,01/01/2000,60,26/04/2021,29,"{""JP829776M"": {""interval"": 1, ""months"": 6}, ""JP829771Y"": {""interval"": 2, ""months"": 12}, ""JP829772Y"": {""interval"": 4, ""months"": 24}, ""JP829775Y"": {""interval"": 10, ""months"": 60}}"
b6d1293a039f4bdfaaae8258a5fd4631,10,False,0,3,FAN-9387,PM72362,02/06/2020,2,01/01/2000,24,02/04/2020,6,"{""JP756932M"": {""interval"": 1, ""months"": 2}, ""JP756931Y"": {""interval"": 6, ""months"": 12}, ""JP756932Y"": {""interval"": 12, ""months"": 24}}"
